 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Slice
44,0.450,1.217,0.031,1.211,1.170,1.277,37.526,3.914,37.526,3.914,2.638,1
45,0.680,1.388,0.178,1.170,1.169,1.780,49.915,3.834,49.914,3.839,3.063,1
46,0.450,1.209,0.028,1.171,1.171,1.259,32.457,3.994,32.457,3.996,2.497,1
47,0.820,1.418,0.212,1.195,1.171,1.915,27.067,4.112,27.075,4.113,3.321,1
48,0.590,1.282,0.073,1.170,1.170,1.418,4.201,4.184,4.202,4.187,2.838,1
49,0.590,1.353,0.165,1.170,1.169,1.729,47.277,4.140,47.270,4.135,3.063,1
50,0.380,1.209,0.024,1.191,1.170,1.245,9.279,4.261,9.279,4.261,2.356,1
51,0.360,1.247,0.056,1.221,1.170,1.360,14.881,4.403,14.883,4.403,2.156,1
52,0.630,1.340,0.151,1.170,1.169,1.687,19.852,4.553,19.849,4.557,2.897,1
53,0.610,1.240,0.045,1.176,1.172,1.312,30.314,4.635,30.315,4.635,2.780,1
54,0.370,1.274,0.067,1.208,1.172,1.417,42.745,4.407,42.741,4.408,2.073,1
55,0.320,1.235,0.046,1.211,1.169,1.335,25.134,4.625,25.133,4.628,2.097,1
56,0.770,1.334,0.160,1.180,1.172,1.734,17.350,4.724,17.329,4.718,3.804,1
57,0.830,1.367,0.169,1.187,1.171,1.797,7.487,5.013,7.489,5.020,3.404,1
58,0.570,1.267,0.062,1.187,1.175,1.399,12.743,4.955,12.744,4.953,2.780,1
59,0.570,1.376,0.159,1.410,1.170,1.720,2.354,4.929,2.348,4.932,2.721,1
60,0.250,1.249,0.056,1.173,1.173,1.353,29.418,4.774,29.418,4.773,1.756,1
61,0.860,1.281,0.099,1.213,1.169,1.547,35.731,5.010,35.723,5.007,3.887,1
62,0.190,1.204,0.024,1.170,1.170,1.249,40.850,4.787,40.850,4.786,1.649,1
63,0.330,1.221,0.032,1.177,1.169,1.274,46.214,4.983,46.214,4.983,2.073,1
64,0.710,1.347,0.125,1.246,1.174,1.608,23.330,5.349,23.329,5.352,3.014,1
65,0.280,1.208,0.027,1.208,1.169,1.259,28.521,5.139,28.521,5.139,1.873,1
66,1.210,1.393,0.171,1.203,1.171,1.768,39.383,5.748,39.387,5.742,4.863,1
